,Word,Tag,Score,avg
162,Price,n,0.63424,0.63424
163,Prime_Minister,n,-0.31712,-0.31712
164,Promised_Land,n,-0.63424,-0.63424
165,Providence,n,-0.31712,-0.31712
166,Psyche,n,-0.31712,-0.31712
167,R-2,n,0.31712,0.31712
168,Reb,n,0.14311424,0.14311424
169,Rebel,n,0.232417792,0.232417792
170,Red,n,0.232417792,0.232417792
171,Red_River,n,-0.218220646,-0.218220646
172,Restoration,n,-0.63424,-0.63424
173,Revelation,n,-0.232417792,-0.232417792
174,Revelation_of_Saint_John_the_Divine,n,0.218220646,0.218220646
175,Romance,n,-0.232417792,-0.232417792
176,Romance_language,n,0.218220646,0.218220646
177,Romantic_Movement,n,-0.14311424,-0.14311424
178,Romanticism,n,-0.232417792,-0.232417792
179,Rush,n,-0.31712,-0.31712
180,Ruth,n,0.31712,0.31712
181,SOB,n,0.31712,0.31712
182,Sand,n,-0.31712,-0.31712
183,Scheol,n,0.31712,0.31712
184,Scout,n,-0.31712,-0.31712
185,Secession,n,0.31712,0.31712
186,Service,n,-0.31712,-0.31712
187,Set,n,0.232417792,0.232417792
188,Seth,n,-0.218220646,-0.218220646
189,Shangri-la,n,-0.63424,-0.63424
190,Sin,n,0.95136,0.95136
191,Smuts,n,0.31712,0.31712
192,Snow,n,0.31712,0.31712
193,Song,n,0.232417792,0.232417792
194,Song_dynasty,n,-0.218220646,-0.218220646
195,Stalinism,n,0.31712,0.31712
196,Stern,n,0.31712,0.31712
197,Sturm_und_Drang,n,0.31712,0.31712
198,Sweet,n,-0.31712,-0.31712
8580,TRUE,a,3.752728064,3.120524032
199,Tang,n,-0.232417792,-0.232417792
200,Tang_dynasty,n,0.218220646,0.218220646
201,Terpsichore,n,-0.31712,-0.31712
202,Thanksgiving,n,-0.232417792,-0.232417792
203,Thanksgiving_Day,n,0.218220646,0.218220646
204,Truth,n,-0.63424,-0.63424
205,Turkey,n,0.31712,0.31712
206,Tyke,n,0.31712,0.31712
207,Union,n,-0.63424,-0.63424
208,Usher,n,-0.232417792,-0.232417792
209,Ussher,n,0.218220646,0.218220646
210,Wisdom,n,-0.464835584,-0.464835584
211,Wisdom_of_Solomon,n,0.436441293,0.436441293
212,Wise_Men,n,-0.31712,-0.31712
213,Wolf,n,0.31712,0.31712
214,Word,n,-0.232417792,-0.232417792
215,Word_of_God,n,0.218220646,0.218220646
216,Worth,n,-0.31712,-0.31712
217,X,n,-0.375532032,-0.375532032
218,XTC,n,-0.014197146,-0.014197146
219,abandon,v,-6.95328,-6.95328
220,abandonment,n,-3.97664,-3.97664
221,abase,v,0.63424,0.63424
222,abasement,n,0.232417792,0.232417792
223,abash,v,0.31712,0.31712
224,abate,v,-2.48832,-2.48832
225,abattoir,n,0.31712,0.31712
226,abbreviate,v,0.375532032,0.375532032
227,abdicate,v,-3.97664,-3.97664
228,abduct,v,0.63424,0.63424
229,aberrance,n,0.159505531,0.159505531
230,aberrancy,n,0.039698121,0.039698121
231,aberration,n,0.183756653,0.183756653
232,abeyance,n,0.31712,0.31712
233,abhor,v,-2.330637312,-2.330637312
234,abidance,n,-0.31712,-0.31712
235,abide,v,6.95328,6.95328
236,abide_by,v,-0.63424,-0.63424
237,ability,n,3.97664,3.97664
238,abjection,n,-0.218220646,-0.218220646
239,abnegate,v,0.31712,0.31712
240,abnegation,n,0.31712,0.31712
241,abnormalcy,n,0.14311424,0.14311424
242,abnormality,n,0.232417792,0.232417792
243,abode,n,-0.31712,-0.31712
244,abolish,v,-3.97664,-3.97664
245,abominate,v,0.499323494,0.499323494
246,abound,v,1.0,1.0
247,abridge,v,0.014197146,0.014197146
248,abruptly,r,0.31712,0.31712
249,abscond,v,-3.661274624,-3.661274624
250,absence,n,-2.330637312,-2.330637312
251,absence_seizure,n,0.499323494,0.499323494
252,absentee,n,-2.48832,-2.48832
253,absolutely,r,0.31712,0.31712
254,absolutism,n,0.31712,0.31712
255,absolve,v,6.95328,6.95328
256,absorption,n,2.48832,2.48832
257,absquatulate,v,0.998646989,0.998646989
258,abstract,v,0.63424,0.63424
259,absurdity,n,-2.330637312,-2.330637312
260,absurdness,n,0.499323494,0.499323494
261,abundance,n,3.97664,3.97664
262,abuse,n,-3.97664,-3.23248
264,abysm,n,0.416102912,0.416102912
265,abyss,n,-2.24741673,-2.24741673
266,accede,v,2.330637312,2.330637312
267,accelerator,n,0.375532032,0.375532032
268,accelerator_pedal,n,0.014197146,0.014197146
269,accent,n,0.232417792,0.232417792
270,accent_mark,n,-0.218220646,-0.218220646
271,accentuate,v,1.0,1.0
272,accept,v,8.4416,8.4416
273,acceptance,n,5.174818816,5.174818816
274,acceptation,n,-0.848671539,-0.848671539
275,accessibility,n,-0.31712,-0.31712
276,accession,n,3.97664,3.97664
277,accident,n,-2.48832,-2.48832
278,accidental_injury,n,0.31712,0.31712
279,accidentally,r,0.31712,0.31712
280,acclaim,n,5.719760384,2.701320192
282,acclamation,n,6.663712461,6.663712461
283,acclivity,n,0.31712,0.31712
284,accolade,n,3.97664,3.97664
285,accommodate,v,8.4416,8.4416
286,accommodating,a,-0.14311424,-0.14311424
287,accommodation,n,3.97664,3.97664
288,accommodative,a,-0.232417792,-0.232417792
289,accompaniment,n,5.46496,5.46496
290,accomplish,v,8.079640576,8.079640576
291,accomplishment,n,9.203266048,9.203266048
293,accord,v,3.97664,1.467451136
294,accordance,n,1.766039757,1.766039757
295,accordance_of_rights,n,-0.361874678,-0.361874678
296,accost,v,-2.48832,-2.48832
297,accredit,v,-0.31712,-0.31712
298,accrue,v,2.48832,2.48832
299,accuracy,n,5.46496,5.46496
300,accurate,a,-0.31712,-0.31712
301,accusal,n,0.416102912,0.416102912
302,accusation,n,-2.24741673,-2.24741673
303,accusative,a,-0.161921085,-0.161921085
304,accusatory,a,0.239659243,0.239659243
305,accuse,v,-3.97664,-3.97664
306,accusing,a,0.032234461,0.032234461
307,accusive,a,-0.041975917,-0.041975917
308,ace,n,-0.95136,-0.95136
309,acedia,n,0.31712,0.31712
310,acerbity,n,0.63424,0.63424
311,ache,v,-6.95328,-6.95328
312,achieve,v,9.495568691,9.495568691
313,achievement,n,8.843919258,8.843919258
314,achiever,n,-0.63424,-0.63424
315,acknowledgement,n,2.48832,2.48832
316,acme,n,-0.63424,-0.63424
317,acquaint,v,3.97664,3.97664
318,acquaintance,n,5.174818816,5.174818816
319,acquaintanceship,n,-0.848671539,-0.848671539
320,acquiesce,v,-0.499323494,-0.499323494
321,acquiescence,n,-0.31712,-0.31712
322,acquirement,n,-0.95136,-0.95136
323,acquit,v,2.48832,2.48832
324,acquittal,n,2.48832,2.48832
325,acrimony,n,-3.97664,-3.97664
326,act_of_terrorism,n,0.31712,0.31712
327,action,v,-0.31712,-0.31712
328,activate,v,-0.25542144,-0.25542144
329,actual,a,2.48832,2.48832
330,actualise,v,-0.375532032,-0.375532032
331,actuality,n,2.48832,2.48832
332,actualize,v,-0.014197146,-0.014197146
333,actuate,v,-0.474714112,-0.474714112
334,adaptability,n,2.48832,2.48832
335,adaptation,n,3.661274624,3.661274624
336,adaption,n,-0.998646989,-0.998646989
337,add_on,v,-0.832205824,-0.832205824
338,addict,n,-3.97664,-3.97664
339,addiction,n,-2.48832,-2.48832
340,addle,v,0.31712,0.31712
341,adept,n,-0.63424,-0.63424
342,adeptness,n,2.48832,2.48832
343,adherence,n,7.11936384,7.11936384
344,adhesion,n,8.343236608,8.343236608
345,adhesiveness,n,-2.364585497,-2.364585497
346,adjoin,v,-0.31712,-0.31712
347,adjourn,v,0.31712,0.31712
348,adjudicate,v,-0.31712,-0.31712
349,adjunct,n,2.48832,2.48832
350,adjure,v,0.31712,0.31712
351,adjustment,n,6.95328,6.95328
352,admirably,r,-0.31712,-0.31712
353,admiration,n,6.95328,6.95328
354,admire,v,2.48832,2.48832
355,admirer,n,5.174818816,5.174818816
356,admit,v,9.92992,9.92992
357,admittance,n,3.97664,3.97664
358,admittedly,r,-0.31712,-0.31712
359,admonish,v,-3.97664,-3.97664
360,admonishment,n,0.416102912,0.416102912
361,admonition,n,-2.24741673,-2.24741673
362,adore,v,2.48832,2.48832
363,adorer,n,-0.848671539,-0.848671539
364,adorn,v,6.95328,6.95328
365,adornment,n,2.48832,2.48832
366,adroitly,r,2.48832,2.48832
367,adroitness,n,-0.31712,-0.31712
368,adulation,n,2.48832,2.48832
369,adulterate,v,-2.48832,-2.48832
370,adulteration,n,-2.48832,-2.48832
371,adultery,n,-2.48832,-2.48832
372,adulthood,n,-0.31712,-0.31712
373,adumbrate,v,0.31712,0.31712
374,advance,n,13.30489907,12.361569535
376,advancement,n,12.76587889,12.76587889
377,advancing,a,-0.31712,-0.31712
378,advantage,n,5.46496,5.46496
379,advantageously,r,-0.31712,-0.31712
380,advantageousness,n,-0.63424,-0.63424
381,advent,n,2.48832,2.48832
382,adventure,v,0.95136,0.95136
383,adversary,n,-5.46496,-5.46496
384,adversity,n,-3.97664,-3.97664
385,advert,v,0.31712,0.31712
386,advertise,v,0.375532032,0.375532032
387,advertize,v,0.014197146,0.014197146
388,advocacy,n,2.48832,2.48832
389,aegis,n,-0.31712,-0.31712
390,aerate,v,0.149462016,0.149462016
391,affability,n,3.661274624,3.661274624
392,affableness,n,-0.998646989,-0.998646989
393,affaire,n,-0.63424,-0.63424
394,affairs,n,-0.12416,-0.12416
395,affectation,n,-2.330637312,-2.330637312
396,affectedness,n,0.499323494,0.499323494
397,affection,n,4.900458496,4.900458496
398,affectionate,a,-0.31712,-0.31712
399,affectionately,r,-0.31712,-0.31712
400,affectionateness,n,-1.822619955,-1.822619955
401,affiance,v,-0.31712,-0.31712
402,affiliate,v,3.97664,3.97664
403,affiliation,n,3.97664,3.97664
404,affinity,n,2.48832,2.48832
405,affirm,v,6.95328,6.95328
406,affirmation,n,3.97664,3.97664
407,affirmative,n,2.48832,2.48832
408,affix,v,3.494833459,3.494833459
409,affixation,n,-0.31712,-0.31712
410,afflict,v,-2.48832,-2.48832
411,affliction,n,-2.48832,-2.48832
412,affluence,n,3.97664,3.97664
413,affray,n,0.63424,0.63424
414,affright,n,0.63424,0.47568
416,affront,v,0.31712,0.31712
417,afraid,a,-2.48832,-2.48832
418,age_bracket,n,-0.375532032,-0.375532032
419,age_group,n,-0.014197146,-0.014197146
420,aggrandise,v,-0.375532032,-0.375532032
421,aggrandize,v,-0.014197146,-0.014197146
422,aggravate,v,-5.46496,-5.46496
423,aggravation,n,-6.95328,-6.95328
424,aggravator,n,0.31712,0.31712
425,aggregate,n,2.48832,2.48832
426,aggregation,n,2.48832,2.48832
427,aggress,v,0.31712,0.31712
428,aggression,n,-7.461513216,-7.461513216
429,aggressiveness,n,-7.753815859,-7.753815859
430,aggressor,n,-3.97664,-3.97664
431,aggrieve,v,-3.97664,-3.97664
432,agility,n,2.48832,2.48832
433,agitate,v,-8.4416,-8.4416
434,agitation,n,-6.95328,-6.95328
435,agitator,n,-2.48832,-2.48832
436,agonise,v,0.416102912,0.416102912
437,agonist,n,-0.31712,-0.31712
438,agonize,v,-2.24741673,-2.24741673
439,agony,n,-2.48832,-2.48832
440,agreeability,n,-0.14311424,-0.14311424
441,agreeableness,n,-0.232417792,-0.232417792
442,agreement,n,3.97664,3.97664
443,aid,n,8.4416,5.46496
445,ail,v,-3.97664,-3.97664
446,ailment,n,-5.46496,-5.46496
447,air_division,n,0.31712,0.31712
448,air_out,v,-0.067788595,-0.067788595
449,airiness,n,-0.31712,-0.31712
450,alarm,v,-5.174818816,-5.174818816
452,alert,v,0.848671539,0.3701597695
453,alerting,n,-0.4319872,-0.4319872
454,alertness,n,3.67650816,3.67650816
455,alibi,n,-2.48832,-2.48832
456,alien,n,-2.48832,-1.036108544
458,alienate,v,-2.24741673,-2.24741673
459,alienation,n,-2.48832,-2.48832
460,alignment,n,-0.607949824,-0.607949824
461,aliment,n,-0.375532032,-0.346326016
463,alimentation,n,-0.014197146,-0.014197146
464,alinement,n,0.204023501,0.204023501
465,all-day_sucker,n,0.31712,0.31712
466,all-fired,r,0.31712,0.31712
467,all_right,a,-0.31712,-0.31712
469,all_the_way,r,-0.31712,-0.31712
470,allay,v,-0.63424,-0.63424
471,allegation,n,-2.330637312,-2.330637312
472,allege,v,-2.48832,-2.48832
473,allegement,n,0.499323494,0.499323494
474,allegiance,n,6.95328,6.95328
475,alleviate,v,5.46496,5.46496
476,alleviation,n,-0.31712,-0.31712
477,alliance,n,3.97664,3.97664
478,allies,n,6.63552,6.63552
479,allow_for,v,-0.31712,-0.31712
480,allow_in,v,-0.31712,-0.31712
481,allowance,n,5.174818816,5.174818816
482,allowance_account,n,-0.848671539,-0.848671539
483,allure,n,2.330637312,1.006758656
485,allurement,n,-0.499323494,-0.499323494
486,alluvial_deposit,n,0.042593604,0.042593604
487,alluvial_sediment,n,-0.01665116,-0.01665116
488,alluvion,n,0.161921085,0.161921085
489,alluvium,n,-0.239659243,-0.239659243
490,ally,n,3.97664,3.97664
491,aloneness,n,0.31712,0.31712
492,aloof,r,-2.48832,-2.48832
493,alright,r,-0.31712,-0.31712
494,also-ran,n,0.31712,0.31712
495,altercate,v,0.63424,0.63424
496,altercation,n,-2.48832,-2.48832
497,amass,v,0.31712,0.31712
498,amazement,n,2.48832,2.48832
499,amber,n,-0.31712,-0.31712
500,ambiguity,n,-2.48832,-2.48832
501,ambuscade,n,0.832205824,0.832205824
503,ambush,n,-3.494833459,-3.494833459
505,ameliorate,v,3.97664,3.97664
506,amends,n,-0.31712,-0.31712
507,amenities,n,-0.41472,-0.41472
508,amenity,n,2.48832,2.48832
509,amercement,n,0.31712,0.31712
510,amiability,n,3.661274624,3.661274624
511,amiableness,n,-0.998646989,-0.998646989
512,amiss,a,0.31712,0.31712
513,amnesty,n,3.97664,3.97664
514,amour,n,3.97664,3.97664
515,amour_propre,n,0.63424,0.63424
516,ample,a,-0.31712,-0.31712
517,amplification,n,-0.63424,-0.63424
518,amplify,v,2.48832,2.48832
519,amply,r,2.48832,2.48832
520,amputate,v,-2.48832,-2.48832
521,amuse,v,1.0,1.0
522,amusement,n,3.97664,3.97664
523,anarchist,n,-2.48832,-2.48832
524,anarchy,n,-2.48832,-2.48832
525,anathematise,v,0.210999052,0.210999052
526,anathematize,v,0.025942443,0.025942443
527,anathemise,v,0.145269924,0.145269924
528,anathemize,v,-0.077738159,-0.077738159
529,anele,v,-0.416102912,-0.416102912
530,angel,n,5.46496,5.46496
531,angelic,a,-0.375532032,-0.375532032
532,angelical,a,-0.014197146,-0.014197146
533,anger,n,-3.752728064,-3.120524032
535,angriness,n,0.673997517,0.673997517
536,angry,a,0.31712,0.31712
537,anguish,n,-2.48832,-1.0856
539,animate_being,n,0.31712,0.31712
540,animosity,n,-2.330637312,-2.330637312
541,animus,n,0.499323494,0.499323494
542,anneal,v,0.31712,0.31712
543,annihilate,v,-6.95328,-6.95328
544,annihilation,n,-2.48832,-2.48832
545,annoy,v,-3.97664,-3.97664
546,annoyance,n,-7.83609344,-7.83609344
547,annoying,n,1.847318528,1.847318528
548,annul,v,1.5856,1.5856
549,anoint,v,2.24741673,2.24741673
550,anomalousness,n,0.416102912,0.416102912
551,anomaly,n,-2.24741673,-2.24741673
552,antagonise,v,0.832205824,0.832205824
553,antagonism,n,-3.97664,-3.97664
554,antagonist,n,-5.46496,-5.46496
555,antagonize,v,-3.494833459,-3.494833459
556,anthropophagite,n,0.375532032,0.375532032
557,anthropophagus,n,0.014197146,0.014197146
558,antipathy,n,-3.97664,-3.97664
559,anxiety,n,-5.719760384,-5.719760384
560,anxiousness,n,-6.663712461,-6.663712461
561,apace,r,-0.31712,-0.31712
562,apart,r,0.31712,0.31712
563,apathy,n,-3.97664,-3.97664
564,apocalypse,n,2.48832,2.48832
565,apogee,n,-0.31712,-0.31712
566,apologise,v,-0.31712,-0.31712
567,apostasy,n,0.31712,0.31712
568,apotheosis,n,-0.63424,-0.63424
569,appal,v,2.08051456,2.08051456
570,appall,v,-7.237083648,-7.237083648
571,apparently,r,-0.31712,-0.31712
572,appealingness,n,-0.31712,-0.31712
573,appease,v,2.147730432,2.147730432
574,append,v,3.97664,3.97664
575,applaud,v,2.48832,2.48832
576,applause,n,2.48832,2.48832
577,apple_sauce,n,0.14311424,0.14311424
578,applesauce,n,0.232417792,0.232417792
579,appoint,v,2.48832,2.48832
580,apportion,v,-0.31712,-0.31712
581,appreciate,v,6.301145587,6.301145587
582,appreciation,n,6.95328,6.95328
583,apprehend,v,2.741752832,2.741752832
584,apprehension,n,-3.752728064,-3.752728064
585,apprehensiveness,n,0.673997517,0.673997517
586,apprentice,n,-0.31712,-0.31712
587,apprise,v,-1.057441305,-1.057441305
588,apprize,v,-0.487142412,-0.487142412
590,approach,v,2.48832,2.275693056
591,approach_path,n,-0.512643686,-0.512643686
592,approach_shot,n,-0.512643686,-0.512643686
593,approaching,n,-0.512643686,-0.512643686
594,approval,n,5.174818816,5.174818816
595,approve,v,3.97664,3.97664
596,approving,n,-0.848671539,-0.848671539
597,aptitude,n,2.48832,2.48832
598,arbiter,n,2.48832,2.48832
599,arbitrament,n,-0.465825203,-0.465825203
600,arbitrate,v,5.46496,5.46496
601,arbitration,n,2.102513295,2.102513295
602,arbitrement,n,-0.125110739,-0.125110739
603,arc,n,0.31712,0.31712
604,arcanum,n,0.31712,0.31712
605,ardent,a,-0.31712,-0.31712
606,ardor,n,-0.31712,-0.31712
607,argufy,v,0.63424,0.63424
608,arguing,n,0.31712,0.31712
609,aristocracy,n,3.97664,3.97664
610,aristocrat,n,2.48832,2.48832
611,armed_combat,n,0.31712,0.31712
612,aroma,n,-0.31712,-0.31712
613,around,r,-0.31712,-0.31712
614,arousal,n,-0.31712,-0.31712
615,arouse,v,-1.26848,-1.26848
616,arrant,a,-0.31712,-0.31712
617,arrest,n,0.95136,0.430628301
619,arrested_development,n,0.31712,0.31712
620,arrive_at,v,-1.26848,-1.26848
621,arrogance,n,-2.48832,-2.48832
622,arrogate,v,0.63424,0.63424
623,arrogation,n,0.31712,0.31712
624,arse,n,0.232417792,0.232417792
625,arsehole,n,-0.218220646,-0.218220646
626,art,n,3.97664,3.97664
627,article_of_faith,n,-0.31712,-0.31712
628,artificer,n,-0.232417792,-0.232417792
629,artificial,a,0.31712,0.31712
630,artillery,n,0.232417792,0.232417792
631,artillery_unit,n,-0.218220646,-0.218220646
632,artisan,n,0.218220646,0.218220646
633,artistic_creation,n,-0.375532032,-0.375532032
634,artistic_production,n,-0.014197146,-0.014197146
635,artistry,n,-0.63424,-0.63424
636,artlessness,n,-0.31712,-0.31712
637,arts,n,0.092016722,0.092016722
638,artwork,n,-0.31712,-0.31712
639,as_luck_would_have_it,r,-0.31712,-0.31712
640,as_well,r,0.31712,0.31712
641,ascendance,n,-0.382960305,-0.382960305
642,ascendence,n,0.012642818,0.012642818
643,ascendency,n,0.089510496,0.089510496
644,ascribe,v,2.48832,2.48832
645,ask_for,v,-0.31712,-0.31712
646,ask_in,v,-0.31712,-0.31712
647,ask_over,v,-0.375532032,-0.375532032
648,ask_round,v,-0.014197146,-0.014197146
649,asperity,n,0.95136,0.95136
650,asperse,v,0.95136,0.95136
651,asphyxiate,v,1.26848,1.26848
652,aspiration,n,3.97664,3.97664
653,aspire,v,2.48832,2.48832
654,assail,v,-9.315895296,-9.315895296
655,assailable,a,-0.31712,-0.31712
656,assailant,n,-3.661274624,-3.661274624
657,assassin,n,-2.330637312,-2.330637312
658,assassinate,v,-2.48832,-2.48832
659,assassinator,n,0.499323494,0.499323494
661,assault,v,-12.97907436,-8.47785718
662,assaulter,n,0.998646989,0.998646989
663,assemblage,n,-0.31712,-0.31712
664,assembling,n,-0.31712,-0.31712
665,assent,n,2.48832,1.0856
667,assenting,n,-0.31712,-0.31712
668,assertion,n,3.752728064,3.752728064
669,asset,n,3.97664,3.97664
670,assets,n,-0.678208,-0.678208
671,asseveration,n,-0.673997517,-0.673997517
672,asshole,n,0.31712,0.31712
673,assimilation,n,-0.31712,-0.31712
674,assimilator,n,-0.31712,-0.31712
675,assist,n,10.43952077,5.719760385
677,assistance,n,12.32742492,12.32742492
678,assistant,n,3.97664,3.97664
680,associate,v,5.083365376,4.41804672
681,associate_degree,n,-0.673997517,-0.673997517
682,association,n,3.97664,3.97664
683,assort,v,-1.173321011,-1.173321011
684,assuage,v,-1.148622438,-1.148622438
685,assuagement,n,-0.31712,-0.31712
686,assurance,n,5.46496,5.46496
687,assure,v,6.95328,6.95328
688,astonishment,n,-0.31712,-0.31712
689,astound,v,2.48832,2.48832
690,astray,r,-2.48832,-2.48832
691,astuteness,n,-0.31712,-0.31712
692,asunder,r,-2.48832,-2.48832
693,asylum,n,-0.63424,-0.63424
694,asymmetry,n,0.31712,0.31712
695,ataraxis,n,-0.31712,-0.31712
696,atomic_number_26,n,0.31712,0.31712
697,atomic_number_79,n,-0.31712,-0.31712
698,atone,v,-0.31712,-0.31712
699,atonement,n,-0.31712,-0.31712
700,atrophy,v,-2.48832,-2.48832
701,attachment,n,5.46496,5.46496
