,Word,Tag,Score
35925,accession,n,3.97664
35942,accident,n,-2.48832
35947,accidental_injury,n,0.31712
35948,accidentally,r,0.31712
35950,acclaim,n,5.719760384
35951,acclaim,v,-0.31712
35952,acclamation,n,6.663712461
35960,acclivity,n,0.31712
35961,accolade,n,3.97664
35962,accommodate,v,8.4416
35963,accommodating,a,-0.14311424
35967,accommodation,n,3.97664
35972,accommodative,a,-0.232417792
35975,accompaniment,n,5.46496
35982,accomplish,v,8.079640576
35986,accomplishment,n,9.203266048
35987,accord,n,-1.041737728
35988,accord,v,3.97664
35990,accordance,n,1.766039757
35991,accordance_of_rights,n,-0.361874678
35998,accost,v,-2.48832
36030,accredit,v,-0.31712
36042,accrue,v,2.48832
36056,accuracy,n,5.46496
36057,accurate,a,-0.31712
36062,accusal,n,0.416102912
36063,accusation,n,-2.24741673
36064,accusative,a,-0.161921085
36068,accusatory,a,0.239659243
36069,accuse,v,-3.97664
36072,accusing,a,0.032234461
36074,accusive,a,-0.041975917
36078,ace,n,-0.95136
36085,acedia,n,0.31712
36099,acerbity,n,0.63424
36146,ache,v,-6.95328
36151,achieve,v,9.495568691
36152,achievement,n,8.843919258
36153,achiever,n,-0.63424
36242,acknowledgement,n,2.48832
36245,acme,n,-0.63424
36288,acquaint,v,3.97664
36289,acquaintance,n,5.174818816
36290,acquaintanceship,n,-0.848671539
36292,acquiesce,v,-0.499323494
36293,acquiescence,n,-0.31712
36303,acquirement,n,-0.95136
36310,acquit,v,2.48832
36311,acquittal,n,2.48832
36324,acrimony,n,-3.97664
36385,act_of_terrorism,n,0.31712
36432,action,v,-0.31712
36442,activate,v,-0.25542144
36480,actual,a,2.48832
36486,actualise,v,-0.375532032
36487,actuality,n,2.48832
36489,actualize,v,-0.014197146
36494,actuate,v,-0.474714112
36578,adaptability,n,2.48832
36580,adaptation,n,3.661274624
36585,adaption,n,-0.998646989
36594,add_on,v,-0.832205824
36607,addict,n,-3.97664
36610,addiction,n,-2.48832
36620,addle,v,0.31712
36669,adept,n,-0.63424
36670,adeptness,n,2.48832
36680,adherence,n,7.11936384
36683,adhesion,n,8.343236608
36693,adhesiveness,n,-2.364585497
36717,adjoin,v,-0.31712
36719,adjourn,v,0.31712
36722,adjudicate,v,-0.31712
36728,adjunct,n,2.48832
36733,adjure,v,0.31712
36742,adjustment,n,6.95328
36772,admirably,r,-0.31712
36776,admiration,n,6.95328
36777,admire,v,2.48832
36779,admirer,n,5.174818816
36788,admit,v,9.92992
36790,admittance,n,3.97664
36791,admittedly,r,-0.31712
36795,admonish,v,-3.97664
36798,admonishment,n,0.416102912
36799,admonition,n,-2.24741673
36829,adore,v,2.48832
36831,adorer,n,-0.848671539
36834,adorn,v,6.95328
36836,adornment,n,2.48832
36863,adroitly,r,2.48832
36864,adroitness,n,-0.31712
36879,adulation,n,2.48832
36898,adulterate,v,-2.48832
36901,adulteration,n,-2.48832
36908,adultery,n,-2.48832
36909,adulthood,n,-0.31712
36910,adumbrate,v,0.31712
36915,advance,n,13.30489907
36916,advance,v,11.41824
36919,advancement,n,12.76587889
36921,advancing,a,-0.31712
36922,advantage,n,5.46496
36925,advantageously,r,-0.31712
36926,advantageousness,n,-0.63424
36930,advent,n,2.48832
36937,adventure,v,0.95136
36950,adversary,n,-5.46496
36957,adversity,n,-3.97664
36959,advert,v,0.31712
36964,advertise,v,0.375532032
36973,advertize,v,0.014197146
36993,advocacy,n,2.48832
37007,aegis,n,-0.31712
37014,aerate,v,0.149462016
37107,affability,n,3.661274624
37109,affableness,n,-0.998646989
37112,affaire,n,-0.63424
37114,affairs,n,-0.12416
37117,affectation,n,-2.330637312
37121,affectedness,n,0.499323494
37124,affection,n,4.900458496
37126,affectionate,a,-0.31712
37127,affectionately,r,-0.31712
37128,affectionateness,n,-1.822619955
37137,affiance,v,-0.31712
37141,affiliate,v,3.97664
37143,affiliation,n,3.97664
37150,affinity,n,2.48832
37151,affirm,v,6.95328
37153,affirmation,n,3.97664
37155,affirmative,n,2.48832
37163,affix,v,3.494833459
37165,affixation,n,-0.31712
37169,afflict,v,-2.48832
37171,affliction,n,-2.48832
37173,affluence,n,3.97664
37181,affray,n,0.63424
37186,affright,n,0.63424
37187,affright,v,0.31712
37189,affront,v,0.31712
37209,afraid,a,-2.48832
37284,age_bracket,n,-0.375532032
37286,age_group,n,-0.014197146
37330,aggrandise,v,-0.375532032
37332,aggrandize,v,-0.014197146
37334,aggravate,v,-5.46496
37339,aggravation,n,-6.95328
37340,aggravator,n,0.31712
37342,aggregate,n,2.48832
37346,aggregation,n,2.48832
37349,aggress,v,0.31712
37350,aggression,n,-7.461513216
37353,aggressiveness,n,-7.753815859
37354,aggressor,n,-3.97664
37355,aggrieve,v,-3.97664
37361,agility,n,2.48832
37367,agitate,v,-8.4416
37371,agitation,n,-6.95328
37373,agitator,n,-2.48832
37401,agonise,v,0.416102912
37404,agonist,n,-0.31712
37407,agonize,v,-2.24741673
37411,agony,n,-2.48832
37426,agreeability,n,-0.14311424
37428,agreeableness,n,-0.232417792
37432,agreement,n,3.97664
37480,aid,n,8.4416
37481,aid,v,2.48832
37493,ail,v,-3.97664
37498,ailment,n,-5.46496
37550,air_division,n,0.31712
37575,air_out,v,-0.067788595
37639,airiness,n,-0.31712
37726,alarm,v,-5.174818816
37839,alert,n,-0.108352
37840,alert,v,0.848671539
37841,alerting,n,-0.4319872
37843,alertness,n,3.67650816
37896,alibi,n,-2.48832
37902,alien,n,-2.48832
37903,alien,v,0.416102912
37907,alienate,v,-2.24741673
37910,alienation,n,-2.48832
37923,alignment,n,-0.607949824
37927,aliment,n,-0.375532032
37928,aliment,v,-0.31712
37935,alimentation,n,-0.014197146
37939,alinement,n,0.204023501
38010,all-day_sucker,n,0.31712
38015,all-fired,r,0.31712
38047,all_right,a,-0.31712
38048,all_right,r,-0.31712
38051,all_the_way,r,-0.31712
38061,allay,v,-0.63424
38063,allegation,n,-2.330637312
38064,allege,v,-2.48832
38067,allegement,n,0.499323494
38068,allegiance,n,6.95328
38102,alleviate,v,5.46496
38104,alleviation,n,-0.31712
38114,alliance,n,3.97664
38118,allies,n,6.63552
38180,allow_for,v,-0.31712
38181,allow_in,v,-0.31712
38184,allowance,n,5.174818816
38186,allowance_account,n,-0.848671539
38196,allure,n,2.330637312
38197,allure,v,-0.31712
38198,allurement,n,-0.499323494
38205,alluvial_deposit,n,0.042593604
38209,alluvial_sediment,n,-0.01665116
38212,alluvion,n,0.161921085
38213,alluvium,n,-0.239659243
38214,ally,n,3.97664
38257,aloneness,n,0.31712
38261,aloof,r,-2.48832
38346,alright,r,-0.31712
38349,also-ran,n,0.31712
38363,altercate,v,0.63424
38364,altercation,n,-2.48832
38477,amass,v,0.31712
38493,amazement,n,2.48832
38505,amber,n,-0.31712
38518,ambiguity,n,-2.48832
38557,ambuscade,n,0.832205824
38558,ambuscade,v,0.832205824
38559,ambush,n,-3.494833459
38560,ambush,v,-3.494833459
38574,ameliorate,v,3.97664
38592,amends,n,-0.31712
38594,amenities,n,-0.41472
38595,amenity,n,2.48832
38607,amercement,n,0.31712
38620,amiability,n,3.661274624
38622,amiableness,n,-0.998646989
38657,amiss,a,0.31712
38703,amnesty,n,3.97664
38751,amour,n,3.97664
38752,amour_propre,n,0.63424
38808,ample,a,-0.31712
38811,amplification,n,-0.63424
38813,amplify,v,2.48832
38818,amply,r,2.48832
38825,amputate,v,-2.48832
38833,amuse,v,1.0
38835,amusement,n,3.97664
39016,anarchist,n,-2.48832
39018,anarchy,n,-2.48832
39035,anathematise,v,0.210999052
39037,anathematize,v,0.025942443
39038,anathemise,v,0.145269924
39039,anathemize,v,-0.077738159
39134,anele,v,-0.416102912
39181,angel,n,5.46496
39189,angelic,a,-0.375532032
39191,angelical,a,-0.014197146
39198,anger,n,-3.752728064
39199,anger,v,-2.48832
39273,angriness,n,0.673997517
39274,angry,a,0.31712
39281,anguish,n,-2.48832
39282,anguish,v,0.31712
39359,animate_being,n,0.31712
39379,animosity,n,-2.330637312
39380,animus,n,0.499323494
39431,anneal,v,0.31712
39444,annihilate,v,-6.95328
39447,annihilation,n,-2.48832
39461,annoy,v,-3.97664
39462,annoyance,n,-7.83609344
39466,annoying,n,1.847318528
39479,annul,v,1.5856
39504,anoint,v,2.24741673
39518,anomalousness,n,0.416102912
39519,anomaly,n,-2.24741673
39587,antagonise,v,0.832205824
39588,antagonism,n,-3.97664
39589,antagonist,n,-5.46496
39593,antagonize,v,-3.494833459
39711,anthropophagite,n,0.375532032
39713,anthropophagus,n,0.014197146
39892,antipathy,n,-3.97664
39999,anxiety,n,-5.719760384
40010,anxiousness,n,-6.663712461
40035,apace,r,-0.31712
40043,apart,r,0.31712
40051,apathy,n,-3.97664
40132,apocalypse,n,2.48832
40154,apogee,n,-0.31712
40162,apologise,v,-0.31712
40191,apostasy,n,0.31712
40217,apotheosis,n,-0.63424
40221,appal,v,2.08051456
40222,appall,v,-7.237083648
40241,apparently,r,-0.31712
40251,appealingness,n,-0.31712
40258,appease,v,2.147730432
40269,append,v,3.97664
40299,applaud,v,2.48832
40302,applause,n,2.48832
40325,apple_sauce,n,0.14311424
40332,applesauce,n,0.232417792
40360,appoint,v,2.48832
40367,apportion,v,-0.31712
40386,appreciate,v,6.301145587
40388,appreciation,n,6.95328
40393,apprehend,v,2.741752832
40397,apprehension,n,-3.752728064
40400,apprehensiveness,n,0.673997517
40401,apprentice,n,-0.31712
40407,apprise,v,-1.057441305
40408,apprize,v,-0.487142412
40410,approach,n,2.063066112
40411,approach,v,2.48832
40412,approach_path,n,-0.512643686
40414,approach_shot,n,-0.512643686
40419,approaching,n,-0.512643686
40433,approval,n,5.174818816
40434,approve,v,3.97664
40438,approving,n,-0.848671539
40466,aptitude,n,2.48832
40533,arbiter,n,2.48832
40540,arbitrament,n,-0.465825203
40544,arbitrate,v,5.46496
40545,arbitration,n,2.102513295
40550,arbitrement,n,-0.125110739
40575,arc,n,0.31712
40589,arcanum,n,0.31712
40720,ardent,a,-0.31712
40723,ardor,n,-0.31712
40781,argufy,v,0.63424
40782,arguing,n,0.31712
40810,aristocracy,n,3.97664
40811,aristocrat,n,2.48832
40847,armed_combat,n,0.31712
40929,aroma,n,-0.31712
40937,around,r,-0.31712
40941,arousal,n,-0.31712
40942,arouse,v,-1.26848
40956,arrant,a,-0.31712
40962,arrest,n,0.95136
40963,arrest,v,-0.090103398
40965,arrested_development,n,0.31712
40977,arrive_at,v,-1.26848
40982,arrogance,n,-2.48832
40985,arrogate,v,0.63424
40986,arrogation,n,0.31712
41004,arse,n,0.232417792
41007,arsehole,n,-0.218220646
41024,art,n,3.97664
41193,article_of_faith,n,-0.31712
41228,artificer,n,-0.232417792
41229,artificial,a,0.31712
41247,artillery,n,0.232417792
41251,artillery_unit,n,-0.218220646
41257,artisan,n,0.218220646
41265,artistic_creation,n,-0.375532032
41267,artistic_production,n,-0.014197146
41270,artistry,n,-0.63424
41273,artlessness,n,-0.31712
41274,arts,n,0.092016722
41277,artwork,n,-0.31712
41298,as_luck_would_have_it,r,-0.31712
41306,as_well,r,0.31712
41319,ascendance,n,-0.382960305
41323,ascendence,n,0.012642818
41324,ascendency,n,0.089510496
41367,ascribe,v,2.48832
41408,ask_for,v,-0.31712
41411,ask_in,v,-0.31712
41413,ask_over,v,-0.375532032
41414,ask_round,v,-0.014197146
41448,asperity,n,0.95136
41449,asperse,v,0.95136
41459,asphyxiate,v,1.26848
41470,aspiration,n,3.97664
41473,aspire,v,2.48832
41482,assail,v,-9.315895296
41484,assailable,a,-0.31712
41485,assailant,n,-3.661274624
41486,assassin,n,-2.330637312
41488,assassinate,v,-2.48832
41491,assassinator,n,0.499323494
41492,assault,n,-3.97664
41493,assault,v,-12.97907436
41497,assaulter,n,0.998646989
41504,assemblage,n,-0.31712
41507,assembling,n,-0.31712
41516,assent,n,2.48832
41517,assent,v,-0.31712
41520,assenting,n,-0.31712
41527,assertion,n,3.752728064
41537,asset,n,3.97664
41538,assets,n,-0.678208
41540,asseveration,n,-0.673997517
41542,asshole,n,0.31712
41560,assimilation,n,-0.31712
41562,assimilator,n,-0.31712
41564,assist,n,10.43952077
41565,assist,v,1.0
41566,assistance,n,12.32742492
41568,assistant,n,3.97664
41580,associate,n,3.752728064
41581,associate,v,5.083365376
41582,associate_degree,n,-0.673997517
41586,association,n,3.97664
41600,assort,v,-1.173321011
41604,assuage,v,-1.148622438
41605,assuagement,n,-0.31712
41613,assurance,n,5.46496
41614,assure,v,6.95328
41665,astonishment,n,-0.31712
41666,astound,v,2.48832
41677,astray,r,-2.48832
41719,astuteness,n,-0.31712
41722,asunder,r,-2.48832
41723,asylum,n,-0.63424
41727,asymmetry,n,0.31712
41810,ataraxis,n,-0.31712
41928,atomic_number_26,n,0.31712
41986,atomic_number_79,n,-0.31712
42034,atone,v,-0.31712
42035,atonement,n,-0.31712
42079,atrophy,v,-2.48832
42087,attachment,n,5.46496
42088,attack,n,-1.0
42089,attack,v,-6.95328
42090,attack_aircraft,n,0.31712
42096,attain,v,9.92992
42102,attainment,n,5.46496
42103,attaint,v,0.31712
42112,attend_to,v,-0.31712
42113,attendance,n,2.330637312
42120,attending,n,-0.499323494
42129,attentiveness,n,-0.31712
42160,attract,v,2.48832
42162,attracter,n,-0.624897817
42163,attraction,n,4.640168665
42165,attractive_feature,n,-0.401560284
42166,attractive_force,n,-0.767161829
42169,attractiveness,n,6.123507878
42170,attractor,n,-0.227361469
42202,auction_block,n,0.31712
42213,audaciousness,n,0.416102912
42214,audacity,n,-2.24741673
42244,audit,v,0.31712
42280,augment,v,2.48832
42281,augmentation,n,2.48832
42295,aura,n,-0.375532032
42299,aureole,n,-0.014197146
42332,auspices,n,-0.31712
42342,austereness,n,0.31712
42363,authenticity,n,3.97664
42370,authorisation,n,-1.963126247
42371,authorise,v,-0.31712
42378,authoritarianism,n,0.31712
42381,authorities,n,-1.039624004
42382,authority,n,6.778542264
42384,authorization,n,-0.666593309
42428,autocrat,n,-2.48832
42590,avail,n,-0.31712
42592,availability,n,2.330637312
42594,availableness,n,-0.499323494
42601,avarice,n,-2.189033472
42604,avariciousness,n,0.50430935
42605,avaritia,n,0.50430935
42610,avenge,v,0.31712
42617,aver,v,-0.25465344
42624,averment,n,-0.31712
42626,aversion,n,-3.752728064
42631,avert,v,-5.719760384
42634,averting,n,0.673997517
42646,avidity,n,-0.375532032
42648,avidness,n,-0.014197146
42665,avoid,v,-6.663712461
42667,avoidance,n,-2.48832
42671,avouch,v,-0.25465344
42672,avouchment,n,-0.31712
42673,avow,v,-0.315556864
42676,avowedly,r,-0.31712
42688,award,n,-0.697253376
42689,award,v,2.48832
42691,awarding,n,0.654661939
42693,awareness,n,3.97664
42718,awkwardness,n,-2.48832
42732,awry,a,0.31712
42735,ax,v,-2.330637312
42739,axe,v,0.499323494
42838,babble,v,-2.330637312
42839,babble_out,v,0.499323494
42931,back,n,7.0979456
42941,back_away,v,0.375532032
42949,back_down,v,0.159505531
42956,back_off,v,0.039698121
42957,back_out,v,0.014197146
42965,back_up,v,0.183756653
42973,backbiter,n,0.31712
42976,backbone,n,7.57318912
42986,backer,n,3.97664
42989,backfire,v,0.375532032
43013,backing,n,6.95328
43015,backlash,v,0.014197146
43028,backrest,n,-1.08220672
43037,backside,n,0.31712
43042,backsliding,n,0.31712
43068,backup,n,-1.537620992
43070,backup_man,n,1.076906086
43072,backward,a,-3.97664
43075,backwardness,n,-2.48832
43128,bad,n,0.28622848
43129,bad,r,-6.956015104
43133,bad_blood,n,0.31712
43141,bad_luck,n,0.63424
43147,baddie,n,0.31712
43151,badger,v,0.63424
43158,badly,r,-10.14721812
43165,badness,n,0.464835584
43168,baffle,v,-12.90656
43172,bafflement,n,-5.46496
43201,bail,v,-2.48832
43216,bait,v,-6.95328
43253,balance,n,-0.232417792
43262,balance_wheel,n,0.218220646
43267,balancing,n,-0.31712
43304,balefulness,n,0.31712
43307,balk,n,1.26848
43308,balk,v,-2.330637312
43314,ball,n,2.48832
43327,ball_club,n,0.31712
43338,ball_over,v,0.63424
43339,ball_up,v,1.5856
43374,ballock,n,-0.31712
43410,balminess,n,-0.31712
43436,bam,n,0.31712
43445,ban,v,1.87323904
43447,banality,n,0.31712
43496,bandit,n,-2.48832
43518,bane,n,-3.97664
43522,bang,n,1.26848
43524,bang,v,0.607949824
43527,bang_up,v,0.31712
43532,bangle,n,-0.31712
43536,banish,v,-9.094592614
43537,banishment,n,-2.48832
43579,banker's_acceptance,n,-0.31712
43594,bankrupt,v,0.95136
43595,bankruptcy,n,-3.97664
43609,banquet,v,-0.31712
43631,baptise,v,-0.416102912
43633,baptism,n,2.48832
43639,baptize,v,2.24741673
43642,bar,v,-11.0203724
43669,barbarian,a,0.375532032
43670,barbarian,n,-2.48832
43671,barbaric,a,0.014197146
43674,barbarism,n,0.364775936
43675,barbarity,n,-0.026569318
43680,barbarousness,n,-0.05187326
43749,barely,r,-0.31712
43750,bareness,n,0.31712
43751,barf,n,0.31712
43754,bargain,v,2.48832
43858,barrage,n,0.375532032
43859,barrage,v,0.31712
43861,barrage_fire,n,0.014197146
43887,barren,n,0.31712
43894,barricade,v,1.672317198
43896,barricado,v,-0.675835876
43897,barrier,n,-2.48832
43947,base_hit,n,-0.31712
43950,base_on_balls,n,0.31712
43959,baseball_club,n,0.31712
43978,baseless,a,0.31712
43984,bash,n,0.63424
43989,basic,a,2.48832
43990,basic,n,-0.31712
43998,basic_principle,n,-0.058412032
44002,basics,n,-0.014197146
44036,bask,v,-0.95136
44107,bastard,n,-2.48832
44215,battalion,n,-0.31712
44228,battery,n,0.31712
44240,battle,n,-6.95328
44241,battle,v,-3.97664
44319,battlefield,n,-2.330637312
44320,battlefront,n,0.31712
44322,battleground,n,0.499323494
44325,battler,n,0.31712
44329,battue,n,0.31712
44333,bauble,n,-0.31712
44336,baulk,n,1.26848
44337,baulk,v,0.499323494
44351,bawl_out,v,0.95136
44379,bazaar,n,-0.232417792
44380,bazar,n,0.218220646
44388,be_adrift,v,0.31712
44391,be_amiss,v,0.31712
44397,be_intimate,v,-0.204023501
44399,be_on_cloud_nine,v,-0.31712
44433,beacon,n,2.189033472
44435,beacon_fire,n,-0.50430935
44436,beacon_light,n,-0.50430935
44456,beak,v,0.31712
44471,beaming,a,-0.232417792
44473,beamy,a,0.218220646
44512,bear_down,v,0.232417792
44513,bear_down_on,v,-0.218220646
44517,bear_in_mind,v,0.31712
44521,bear_on,v,0.232417792
44522,bear_out,v,-0.31712
44525,bear_upon,v,-0.218220646
44558,beast,n,0.31712
44562,beastly,r,-2.48832
44564,beat,n,-2.48832
44565,beat,v,-10.26284902
44570,beat_back,v,0.63424
44574,beat_out,v,1.847114957
44575,beat_up,v,1.529994957
44583,beatify,v,-0.31712
44587,beatnik,n,0.31712
44588,beatniks,n,0.072609178
44589,beats,n,-0.058736722
44593,beau_ideal,n,-0.63424
44596,beaut,n,-0.507556352
44598,beauteousness,n,-0.63424
44603,beautify,v,6.95328
